# Gene set generated on 2025-07-31T18:08:23 using cellxgene version 1.2.0
# Input data file was cellxgene_data/kirsten/qc_KNK_URT007_scRNA.TCR_jul25.h5ad, which was last modified on 2025-07-29T16:31:39
gene_set_name,gene_set_description,gene_symbol,gene_description
"Pop1 high (7/31/2025, 2:07:39 PM)",,Atp2b1,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Csrnp1,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Pmepa1,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Reep5,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Actg1,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Ubc,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Qpct,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Cdh1,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Srgn,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Sik1,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Smad7,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Il2rb,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Zfp36l2,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Tagln2,
"Pop1 high (7/31/2025, 2:07:39 PM)",,ENSMUSG00000095742,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Rbpj,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Hspa1b,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Emp1,
"Pop1 high (7/31/2025, 2:07:39 PM)",,Pnrc1,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Cd160,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Gimap7,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Dtx1,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Cd7,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Limd2,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Gimap3,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Atp8a2,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Ptpn18,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Gimap6,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Ccl5,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Ltb,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Gm2682,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Rflnb,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Gimap4,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Rpl19,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Ifi47,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Rps16,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Rps24,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Gzmk,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Rps9,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Psmb10,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Rplp1,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Shisa5,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Rps13,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Epsti1,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Rpl18a,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Ms4a4b,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Rps27a,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Il7r,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Ifi27l2a,
"Pop2 high (7/31/2025, 2:07:39 PM)",,Psme1,
